<xml><!--Date,Open,High,Low,Close,Volume,Adj Close
12/13/2011,124.86,125.57,122.45,123.05,245159800,119.09
12/12/2011,124.95,124.97,123.16,124.21,215826100,120.21
12/9/2011,124.51,126.37,124.4,126.05,209111400,122
12/8/2011,125.9,126.18,123.65,123.95,240862800,119.96
12/7/2011,125.84,127.26,124.97,126.73,237802500,122.65
12/6/2011,126.21,127.11,125.76,126.26,178842100,122.2
12/5/2011,126.84,127.18,125.44,126.22,225263900,122.16
12/2/2011,126.12,126.5,124.78,124.86,221109700,120.84
12/1/2011,124.85,125.64,124.43,124.97,176954800,120.95
11/30/2011,123.49,125.22,120,124.99,324439500,120.97
11/29/2011,120.05,121,119.61,120.05,199241500,116.19
11/28/2011,119.54,120.18,118.82,119.71,210686000,115.86
11/25/2011,116.38,117.7,116.2,116.34,99557000,112.6
11/23/2011,118.07,119.19,116.56,116.56,224329100,112.81
11/22/2011,119.4,120.1,118.52,119.19,216494900,115.36
11/21/2011,120.2,120.35,118.65,119.66,229611600,115.81
11/18/2011,122.5,122.75,121.47,121.98,215580400,118.06
11/17/2011,123.85,124.16,121.23,122.11,331219600,118.18
11/16/2011,124.81,126.34,123.9,124.08,235782500,120.09
11/15/2011,125.17,126.75,124.72,126.08,184709400,122.02
11/14/2011,126.19,127.45,124.92,125.46,159258300,121.42
11/11/2011,125.83,126.99,125.79,126.66,189924400,122.59
11/10/2011,124.79,124.94,123.02,124.32,231866500,120.32
11/9/2011,124.89,125.8,122.86,123.16,337982000,119.2
11/8/2011,126.92,128.02,125.71,127.88,224426300,123.77
11/7/2011,125.39,126.39,124.2,126.26,196617200,122.2
11/4/2011,125.23,125.7,124.01,125.48,249401600,121.44
11/3/2011,125.27,126.5,123.6,126.25,291174800,122.19
11/2/2011,123.83,124.4,122.79,123.99,245529400,120
11/1/2011,122.03,123.51,121.52,122,416565800,118.08
10/31/2011,127.16,128.62,125.32,125.5,228146700,121.46
10/28/2011,128,128.85,127.8,128.6,225906500,124.46
10/27/2011,127.63,129.42,126.61,128.63,393220200,124.49
10/26/2011,124.35,124.77,122.21,124.3,289053800,120.3
10/25/2011,124.89,124.95,122.78,123.05,268596800,119.09
10/24/2011,124.17,125.8,124.06,125.49,203215600,121.45
10/21/2011,123.09,124.12,122.72,123.97,278999400,119.98
10/20/2011,121.43,122.1,119.82,121.66,262075600,117.75
10/19/2011,122.38,123.08,120.71,121.13,226601300,117.23
10/18/2011,120.14,123.5,119.2,122.58,318857900,118.64
10/17/2011,121.99,122.55,119.93,120.23,202311600,116.36
10/14/2011,121.91,122.6,121.23,122.57,211397600,118.63
10/13/2011,120.04,120.87,119.12,120.51,212159600,116.63
10/12/2011,120.6,122.14,120.33,120.75,281544900,116.87
10/11/2011,118.87,120.04,118.75,119.7,209088000,115.85
10/10/2011,117.68,119.63,117.67,119.58,230666300,115.73
10/7/2011,117.17,117.25,115.06,115.71,312657900,111.99
10/6/2011,114.36,116.66,113.51,116.49,257800800,112.74
10/5/2011,112.62,114.72,111.58,114.42,284108000,110.74
10/4/2011,108.35,112.58,107.43,112.34,459177500,108.73
10/3/2011,112.49,113.95,109.81,109.93,365136800,106.39
9/30/2011,114.45,115.45,113.07,113.15,288392300,109.51
9/29/2011,117.05,117.63,113.93,116.05,298108900,112.32
9/28/2011,117.78,118.49,114.97,115.14,286696800,111.44
9/27/2011,118.53,119.56,116.84,117.54,311753900,113.76
9/26/2011,114.61,116.4,112.98,116.24,260673700,112.5
9/23/2011,112.11,114.16,112.02,113.54,307242500,109.89
9/22/2011,113.25,114.21,111.3,112.86,513911300,109.23
9/21/2011,120.23,120.6,116.44,116.63,316251300,112.88
9/20/2011,120.82,121.99,120.01,120.17,218932200,116.3
