Date,Open,High,Low,Close,Volume,Adj Close
2012-09-19,93.94,93.94,93.72,93.72,3306500,90.34
2012-09-18,93.83,93.92,93.62,93.84,4099400,90.45
2012-09-17,93.78,93.98,93.70,93.80,3075500,90.41
2012-09-14,93.90,94.04,93.71,93.88,3467200,90.49
2012-09-13,93.33,93.91,93.26,93.89,5946800,90.50
2012-09-12,93.13,93.31,93.08,93.29,1957400,89.92
2012-09-11,92.43,93.01,92.43,93.01,4400300,89.65
2012-09-10,92.48,92.71,92.32,92.38,2138600,89.04
2012-09-07,92.50,92.60,92.37,92.53,3403300,89.19
2012-09-06,91.86,92.38,91.86,92.37,3306000,89.03
2012-09-05,91.91,91.92,91.76,91.83,1541000,88.51
2012-09-04,91.87,91.87,91.56,91.82,3921500,88.50
2012-08-31,92.25,92.40,92.09,92.33,1801800,88.51
2012-08-30,92.08,92.18,92.00,92.09,2022400,88.28
2012-08-29,92.13,92.17,92.00,92.13,1617600,88.31
2012-08-28,92.07,92.15,91.95,92.00,1795700,88.19
2012-08-27,92.12,92.22,91.92,92.08,1883600,88.27
2012-08-24,91.77,92.16,91.69,92.15,2082100,88.33
2012-08-23,91.77,91.85,91.61,91.74,1141700,87.94
2012-08-22,91.76,91.87,91.68,91.76,1889100,87.96
2012-08-21,91.73,91.86,91.70,91.85,2531200,88.05
2012-08-20,91.56,91.70,91.41,91.65,2333200,87.85
2012-08-17,91.49,91.65,91.39,91.54,2222000,87.75
2012-08-16,91.34,91.58,91.08,91.54,2914300,87.75
2012-08-15,91.73,91.73,91.20,91.20,2580400,87.42
2012-08-14,91.50,91.79,91.47,91.64,2381000,87.84
2012-08-13,91.41,91.50,91.25,91.50,2007800,87.71
2012-08-10,91.42,91.58,91.31,91.45,1533600,87.66
2012-08-09,91.62,91.66,91.38,91.53,2975600,87.74
2012-08-08,91.58,91.71,91.48,91.52,3162100,87.73
2012-08-07,91.82,91.90,91.36,91.46,3680600,87.67
2012-08-06,91.65,91.99,91.64,91.64,2864400,87.84
2012-08-03,91.60,91.90,91.57,91.70,4602000,87.90
2012-08-02,91.46,91.59,91.15,91.32,4516600,87.54
2012-08-01,91.41,91.69,91.15,91.69,3598100,87.89
2012-07-31,91.95,91.99,91.54,91.70,3530800,87.42
2012-07-30,91.90,91.95,91.65,91.92,3889700,87.63
2012-07-27,91.37,91.94,91.37,91.92,5556800,87.63
2012-07-26,90.89,91.42,90.83,91.38,4330900,87.11
2012-07-25,90.89,90.93,90.44,90.45,2891000,86.23
2012-07-24,91.12,91.16,90.57,90.64,3447700,86.41
2012-07-23,90.84,91.29,90.58,91.20,4561700,86.94
2012-07-20,91.51,91.61,91.23,91.35,2733500,87.08
2012-07-19,91.51,91.89,91.48,91.78,4718200,87.49
2012-07-18,91.13,91.55,91.09,91.55,3958600,87.27
2012-07-17,91.00,91.19,90.69,91.17,4036500,86.91
2012-07-16,90.69,91.03,90.66,90.74,2178900,86.50
2012-07-13,90.91,91.13,90.76,91.09,2316400,86.84
2012-07-12,90.93,90.96,90.46,90.81,1989100,86.57
2012-07-11,90.86,91.08,90.64,91.01,3188700,86.76
2012-07-10,91.20,91.34,90.60,90.72,1832600,86.48
2012-07-09,90.99,91.24,90.89,91.12,1916600,86.87
2012-07-06,90.74,91.13,90.70,91.09,2612400,86.84
2012-07-05,91.00,91.41,90.72,91.21,2221300,86.95
2012-07-03,90.95,91.26,90.83,91.20,1987500,86.94
2012-07-02,90.80,90.87,90.40,90.87,3810700,86.63
2012-06-29,90.98,91.29,90.78,91.29,3394900,86.53
2012-06-28,90.19,90.49,90.08,90.43,3068700,85.72
2012-06-27,90.06,90.46,90.06,90.44,1918000,85.73
2012-06-26,90.11,90.12,89.66,89.90,2357900,85.22
2012-06-25,89.81,90.05,89.67,90.03,3385600,85.34
2012-06-22,89.87,90.28,89.85,90.17,3211700,85.47
2012-06-21,90.40,90.70,89.42,89.56,4843700,84.89
2012-06-20,90.18,90.34,89.82,90.30,3719000,85.59
2012-06-19,89.69,90.11,89.34,89.95,2809100,85.26
2012-06-18,89.09,89.34,89.00,89.32,3628200,84.67
2012-06-15,89.00,89.38,89.00,89.29,2683200,84.64
2012-06-14,88.49,89.24,88.43,89.13,3874100,84.49
2012-06-13,88.60,88.92,88.26,88.47,3527200,83.86
2012-06-12,88.41,88.82,88.26,88.73,3648400,84.11
2012-06-11,88.90,88.99,88.10,88.11,5266700,83.52
2012-06-08,88.33,88.90,88.19,88.69,3738100,84.07
2012-06-07,88.50,88.74,88.04,88.35,5454300,83.75
2012-06-06,87.49,88.04,87.31,88.02,2334800,83.43
2012-06-05,86.54,87.38,86.45,87.09,2970100,82.55
2012-06-04,86.54,86.85,86.43,86.54,3125700,82.03
2012-06-01,86.58,87.16,86.36,86.47,5945600,81.96
2012-05-31,88.80,88.80,87.75,87.77,10706100,82.68
2012-05-30,88.73,88.81,88.53,88.71,2543300,83.57
2012-05-29,88.53,89.25,88.45,89.11,4380300,83.95
2012-05-25,88.57,88.64,88.09,88.14,1651500,83.03
2012-05-24,88.25,88.65,88.25,88.42,2183000,83.30
2012-05-23,88.29,88.68,87.95,88.40,4320900,83.28
2012-05-22,88.76,89.11,88.38,88.49,3675300,83.36
2012-05-21,87.69,88.56,87.68,88.50,4276900,83.37
2012-05-18,88.01,88.29,87.48,87.59,6525600,82.51
2012-05-17,88.82,88.83,87.37,87.59,8867800,82.51
2012-05-16,89.81,90.05,88.79,88.82,6224400,83.67
2012-05-15,90.10,90.18,89.70,89.70,5242100,84.50
2012-05-14,90.50,90.57,90.00,90.14,4544000,84.92
2012-05-11,90.54,91.15,90.48,90.81,2765200,85.55
2012-05-10,90.98,91.03,90.52,90.58,3354000,85.33
2012-05-09,90.77,90.86,90.44,90.68,3146800,85.42
2012-05-08,90.89,91.07,90.72,91.00,1688900,85.73
2012-05-07,90.84,91.24,90.61,91.02,1906100,85.74
2012-05-04,90.94,91.08,90.80,90.87,2381400,85.60
2012-05-03,91.20,91.25,90.95,91.05,1871900,85.77
2012-05-02,90.66,91.18,90.60,91.11,2040700,85.83
2012-05-01,90.85,91.17,90.73,90.76,3624600,85.50
2012-04-30,91.03,91.22,90.80,91.20,3989000,85.43
2012-04-27,91.14,91.15,90.90,91.02,2413000,85.27
2012-04-26,91.00,91.14,90.96,91.06,2641100,85.30
2012-04-25,90.57,91.00,90.46,91.00,3351000,85.25
2012-04-24,90.23,90.34,90.10,90.34,2049300,84.63
2012-04-23,90.02,90.16,89.85,90.13,2850700,84.43
2012-04-20,90.46,90.46,90.11,90.32,2241500,84.61
2012-04-19,90.32,90.49,90.08,90.18,2597800,84.48
2012-04-18,90.24,90.46,90.19,90.35,3322600,84.64
2012-04-17,90.26,90.49,90.15,90.38,2787400,84.67
2012-04-16,90.04,90.17,89.71,89.99,3804300,84.30
2012-04-13,90.11,90.20,89.79,89.85,2767400,84.17
2012-04-12,89.42,90.21,89.34,90.14,2753500,84.44
2012-04-11,89.24,89.39,89.07,89.34,2003700,83.69
2012-04-10,89.27,89.43,88.72,88.80,4471100,83.19
2012-04-09,89.53,89.57,89.14,89.24,2692500,83.60
2012-04-05,89.87,89.90,89.59,89.70,3658900,84.03
2012-04-04,89.97,90.10,89.79,89.92,2297600,84.24
2012-04-03,90.31,90.52,90.24,90.25,4099700,84.54
2012-04-02,90.36,90.47,90.20,90.33,5883800,84.62
2012-03-30,90.97,91.07,90.59,90.72,4020300,84.47
2012-03-29,90.82,90.95,90.60,90.90,2158600,84.64
2012-03-28,91.25,91.25,90.77,90.91,2803700,84.65
2012-03-27,91.01,91.31,90.94,91.21,4196700,84.93
2012-03-26,90.62,91.06,90.57,91.05,2081200,84.78
2012-03-23,90.66,90.75,90.40,90.50,3465200,84.27
2012-03-22,90.45,90.78,90.43,90.69,3500900,84.45
2012-03-21,90.93,90.93,90.45,90.47,3280100,84.24
2012-03-20,90.76,90.92,90.61,90.76,2756600,84.51
2012-03-19,90.49,90.86,90.33,90.83,2283900,84.58
2012-03-16,90.91,91.00,90.30,90.49,3570300,84.26
2012-03-15,91.20,91.20,90.74,90.82,1726800,84.57
2012-03-14,91.31,91.35,90.67,91.13,2928800,84.86
2012-03-13,90.98,91.36,90.76,91.36,2890700,85.07
2012-03-12,90.62,90.72,90.50,90.70,2153000,84.46
2012-03-09,90.69,90.94,90.63,90.70,2531300,84.46
2012-03-08,90.25,90.62,90.04,90.60,2249700,84.36
2012-03-07,89.93,90.01,89.64,89.90,5840700,83.71
2012-03-06,90.54,90.74,89.65,89.65,5792700,83.48
2012-03-05,91.45,91.48,90.85,90.86,2333700,84.60
2012-03-02,91.73,91.73,91.34,91.37,1709000,85.08
2012-03-01,91.65,91.84,91.50,91.75,3802800,85.43
2012-02-29,92.10,92.26,91.77,92.13,3085800,85.29
2012-02-28,91.90,92.12,91.85,92.01,2813200,85.18
2012-02-27,91.59,91.95,91.59,91.83,1608100,85.01
2012-02-24,91.55,91.85,91.48,91.81,1795500,84.99
2012-02-23,91.26,91.74,91.20,91.53,3212300,84.73
2012-02-22,91.03,91.25,90.97,91.20,3570600,84.43
2012-02-21,90.68,91.09,90.65,90.91,2265100,84.16
2012-02-17,90.84,90.86,90.45,90.57,2402700,83.84
2012-02-16,90.22,90.62,89.99,90.60,2514100,83.87
2012-02-15,90.53,90.77,90.20,90.22,1986600,83.52
2012-02-14,90.46,90.65,90.39,90.51,3000100,83.79
2012-02-13,90.50,90.72,90.33,90.51,2193100,83.79
2012-02-10,90.58,90.62,90.25,90.25,2909600,83.55
2012-02-09,91.06,91.09,90.67,91.04,3258700,84.28
2012-02-08,91.04,91.09,90.81,91.00,3336000,84.24
2012-02-07,90.79,90.99,90.67,90.92,2467000,84.17
2012-02-06,90.64,90.76,90.50,90.74,2270500,84.00
2012-02-03,91.22,91.24,90.58,90.72,2312900,83.98
2012-02-02,90.59,90.62,90.41,90.46,2079600,83.74
2012-02-01,90.28,90.72,90.28,90.40,4284200,83.69
2012-01-31,90.75,90.87,90.53,90.74,2864400,83.53
2012-01-30,90.46,90.73,90.35,90.51,2553000,83.32
2012-01-27,91.01,91.18,90.80,90.80,2431100,83.59
2012-01-26,91.30,91.48,90.92,91.13,6487500,83.89
2012-01-25,90.30,91.00,89.92,90.91,3882800,83.69
2012-01-24,89.89,90.17,89.72,90.12,2863800,82.96
2012-01-23,89.77,90.02,89.66,89.89,1680100,82.75
2012-01-20,89.61,89.74,89.54,89.58,2037500,82.46
2012-01-19,89.72,89.85,89.46,89.58,2953000,82.46
2012-01-18,89.21,89.46,88.95,89.45,2725800,82.34
2012-01-17,89.38,89.38,89.06,89.20,4144200,82.11
2012-01-13,89.07,89.13,88.55,89.02,1929400,81.95
2012-01-12,89.24,89.44,89.04,89.12,1558100,82.04
2012-01-11,89.27,89.33,89.04,89.24,1191100,82.15
2012-01-10,89.40,89.48,89.20,89.33,2318000,82.23
2012-01-09,88.91,89.23,88.91,89.02,2157800,81.95
2012-01-06,89.39,89.39,88.75,88.90,1916400,81.84
2012-01-05,89.54,89.58,88.99,89.18,2579700,82.10
2012-01-04,89.70,89.71,89.11,89.57,3010000,82.45
2012-01-03,89.82,89.99,89.45,89.72,3118800,82.59
2011-12-30,89.37,89.65,89.26,89.43,1553400,82.33
